,CIK,Date,Amount A,Amount D,sec_alpha,PERMNO
3602,0000903129,2020-06,12181.0,1076.0,1.1,79248
3603,0000903129,2020-07,0.0,627.0,0.9,79248
3604,0000903129,2020-08,4187.0,447.0,1.1,79248
3605,0000903129,2020-09,0.0,986.0,0.9,79248
3606,0000903129,2020-10,0.0,144.0,0.9,79248
3607,0000903129,2020-11,15000.0,15425.0,0.9,79248
3608,0000903129,2020-12,0.0,4360.0,0.9,79248
3609,0000903129,2021-01,2366.0,484.0,1.1,79248
3610,0000903129,2021-02,0.0,6553.0,0.9,79248
3611,0000903129,2021-03,495011.0,117981.0,1.1,79248
3612,0000903129,2021-04,0.0,1339.0,0.9,79248
3613,0000903129,2021-05,11376.0,0.0,1.1,79248
3614,0000903129,2021-06,197584.0,6033.0,1.1,79248
3615,0000903129,2021-07,0.0,3794.0,0.9,79248
3616,0000903129,2021-08,0.0,7773.0,0.9,79248
3617,0000903129,2021-09,0.0,986.0,0.9,79248
3618,0000903129,2021-10,45203.0,737.0,1.1,79248
3619,0000903129,2021-11,0.0,449.0,0.9,79248
3620,0000903129,2021-12,0.0,10000.0,0.9,79248
3621,0000903129,2022-01,0.0,457.0,0.9,79248
3622,0000903129,2022-03,1385956.0,54400.0,1.1,79248
3623,0000903129,2022-04,0.0,1251.0,0.9,79248
3624,0000903129,2022-06,13600.0,2617.0,1.1,79248
3625,0000903129,2022-07,0.0,586.0,0.9,79248
3626,0000903129,2022-08,31777.0,32222.0,0.9,79248
3627,0000903129,2022-09,0.0,986.0,0.9,79248
3628,0000903129,2022-10,0.0,517.0,0.9,79248
3629,0000903129,2022-11,0.0,8579.0,0.9,79248
3630,0000903129,2022-12,0.0,1000.0,0.9,79248
3631,0000903129,2023-03,993630.0,31077.0,1.1,79248
3632,0000903129,2023-05,15029.0,3748.0,1.1,79248
3633,0000903129,2023-08,0.0,3043.0,0.9,79248
3634,0000903129,2023-09,130171.0,5300.0,1.1,79248
3635,0000903129,2023-10,1528.0,230.0,1.1,79248
3636,0000903129,2023-12,1366.0,0.0,1.1,79248
3637,0000903129,2024-03,1006621.0,35034.0,1.1,79248
3638,0000903129,2024-04,15000.0,15000.0,1.0,79248
3639,0000903129,2024-05,36296.0,15000.0,1.1,79248
3640,0000903129,2024-06,15000.0,16884.0,0.9,79248
3641,0000903129,2024-07,15000.0,15000.0,1.0,79248
3642,0000903129,2024-08,15000.0,15045.0,0.9,79248
3643,0000903129,2024-09,15000.0,15000.0,1.0,79248
3644,0000903129,2024-10,0.0,115.0,0.9,79248
3645,0000907471,2018-01,24866.0,51581.0,0.9,79571
3646,0000907471,2018-02,0.0,333.0,0.9,79571
3647,0000907471,2018-03,70553.0,62503.0,1.1,79571
3648,0000907471,2018-05,0.0,2100.0,0.9,79571
3649,0000907471,2018-06,0.0,55166.0,0.9,79571
3650,0000907471,2018-08,41155610.0,0.0,1.1,79571
3651,0000907471,2018-09,1062091.0,1062091.0,1.0,79571
3652,0000907471,2018-10,2719021.0,1713132.0,1.1,79571
3653,0000907471,2018-11,397809.0,325033.0,1.1,79571
3654,0000907471,2018-12,25466.0,0.0,1.1,79571
3655,0000907471,2019-02,604009.0,240345.0,1.1,79571
3656,0000907471,2019-03,0.0,92761.0,0.9,79571
3657,0000907471,2019-05,57177.0,182843.0,0.9,79571
3658,0000907471,2019-06,0.0,98889.0,0.9,79571
3659,0000907471,2019-07,0.0,98889.0,0.9,79571
3660,0000907471,2019-08,22221.0,221122.0,0.9,79571
3661,0000907471,2019-09,80001.0,26712.0,1.1,79571
3662,0000907471,2019-10,14011.0,451395.0,0.9,79571
3663,0000907471,2019-11,1544328.0,683765.0,1.1,79571
3664,0000907471,2019-12,0.0,97862.0,0.9,79571
3665,0000907471,2020-01,15001.0,12300.0,1.1,79571
3666,0000907471,2020-02,301511.0,89842.0,1.1,79571
3667,0000907471,2020-03,0.0,5000.0,0.9,79571
3668,0000907471,2020-06,68349.0,158653.0,0.9,79571
3669,0000907471,2020-07,17886.0,115791.0,0.9,79571
3670,0000907471,2020-08,0.0,309441.0,0.9,79571
3671,0000907471,2020-09,0.0,14912.0,0.9,79571
3672,0000907471,2020-10,16581.0,291735.0,0.9,79571
3673,0000907471,2020-11,727340.0,208161.0,1.1,79571
3674,0000907471,2020-12,0.0,15500.0,0.9,79571
3675,0000907471,2021-01,140002.0,152400.0,0.9,79571
3676,0000907471,2021-02,316009.0,9246.0,1.1,79571
3677,0000907471,2021-03,54002.0,86137.0,0.9,79571
3678,0000907471,2021-05,0.0,48501.0,0.9,79571
3679,0000907471,2021-08,0.0,1869.0,0.9,79571
3680,0000907471,2021-09,0.0,5891.0,0.9,79571
3681,0000907471,2021-10,45474.0,459097.0,0.9,79571
3682,0000907471,2021-11,688511.0,33698.0,1.1,79571
3683,0000907471,2021-12,0.0,10549.0,0.9,79571
3684,0000907471,2022-01,1937.0,1066.0,1.1,79571
3685,0000907471,2022-02,235949.0,27987.0,1.1,79571
3686,0000907471,2022-03,0.0,16201.0,0.9,79571
3687,0000907471,2022-04,0.0,4557.0,0.9,79571
3688,0000907471,2022-06,2500.0,1000.0,1.1,79571
3689,0000907471,2022-07,2500.0,0.0,1.1,79571
3690,0000907471,2022-08,36671.0,4075.0,1.1,79571
3691,0000907471,2022-09,0.0,8891.0,0.9,79571
3692,0000907471,2022-10,21831.0,190545.0,0.9,79571
3693,0000907471,2022-11,583696.0,600.0,1.1,79571
3694,0000907471,2022-12,0.0,3725.0,0.9,79571
3695,0000907471,2023-01,0.0,2500.0,0.9,79571
3696,0000907471,2023-02,0.0,46353.0,0.9,79571
3697,0000907471,2023-03,212007.0,3350.0,1.1,79571
3698,0000907471,2023-05,350.0,0.0,1.1,79571
3699,0000907471,2023-09,0.0,8271.0,0.9,79571
3700,0000907471,2023-10,0.0,292751.0,0.9,79571
3701,0000907471,2023-11,253803.0,105867.0,1.1,79571
3702,0000907471,2023-12,28001.0,54000.0,0.9,79571
3703,0000907471,2024-02,236008.0,12062.0,1.1,79571
3704,0000907471,2024-03,766923.0,2872.0,1.1,79571
3705,0000907471,2024-05,0.0,2060.0,0.9,79571
3706,0000907471,2024-09,0.0,13100.0,0.9,79571
3707,0000907471,2024-10,0.0,146020.0,0.9,79571
3708,0000910521,2018-02,0.0,54481.0,0.9,79686
3709,0000910521,2018-03,167332.0,600.0,1.1,79686
3710,0000910521,2018-04,0.0,9812.0,0.9,79686
3711,0000910521,2018-05,0.0,11750.0,0.9,79686
3712,0000910521,2018-06,142837.0,7241.0,1.1,79686
3713,0000910521,2018-08,1000.0,95745.0,0.9,79686
3714,0000910521,2018-09,608995.0,0.0,1.1,79686
3715,0000910521,2018-11,0.0,14971.0,0.9,79686
3716,0000910521,2018-12,514214.0,0.0,1.1,79686
3717,0000910521,2019-01,4001.0,0.0,1.1,79686
3718,0000910521,2019-03,276093.0,0.0,1.1,79686
3719,0000910521,2019-05,0.0,3450.0,0.9,79686
3720,0000910521,2019-06,186903.0,9054.0,1.1,79686
3721,0000910521,2019-08,0.0,12748.0,0.9,79686
3722,0000910521,2019-09,658360.0,0.0,1.1,79686
3723,0000910521,2019-10,0.0,26001.0,0.9,79686
3724,0000910521,2019-11,0.0,57162.0,0.9,79686
3725,0000910521,2019-12,50210.0,25001.0,1.1,79686
3726,0000910521,2020-01,0.0,54.0,0.9,79686
