Company,cik,permno
READERS DIGEST ASSOCIATION INC,858558,77454
INTELLIGROUP INC,1016439,83942
CONCERO INC,1030487,85031
BANNER CORP,946673,82575
VICAL INC,819050,79022
INFINITE GROUP INC,884650,79595
AMERCO,4457,81073
TELEFLEX INC,96943,44329
BRITTON & KOONTZ CAPITAL CORP,1285441,84058
BRADLEES INC,887356,86712
SOUND FEDERAL BANCORP,1064236,86392
CHESAPEAKE ENERGY CORP,895126,78877
OHIO VALLEY BANC CORP,894671,83155
SOUTHERN ENERGY HOMES INC,896397,79008
PHILADELPHIA SUBURBAN CORP,78128,52898
HIGH SPEED ACCESS CORP,1075244,86972
RESOURCE AMERICA INC,83402,66617
MILACRON INC,716823,22680
DARLING INTERNATIONAL INC,916540,80928
INTERWOVEN INC,1042431,87327
CELERITEK INC,919583,82681
BNCCORP,945434,81851
EZCORP INC,876523,76798
ASTEA INTERNATIONAL INC,945989,81850
MIKASA INC,920758,80600
MAXIM PHARMACEUTICALS INC,1013351,83722
ATLANTIS PLASTICS INC,811828,75150
FIRETECTOR INC,823130,75740
HAGGAR CORP,892533,78155
FULL LINE DISTRIBUTORS INC,913950,80138
UNITED SHIPPING & TECHNOLOGY INC,1002902,83566
MIDWEST BANC HOLDINGS INC,1051379,85832
INSMED INC,1104506,88351
ANALYSTS INTERNATIONAL CORP,6292,14219
ALKERMES INC,874663,76736
ALTERNATIVE RESOURCES CORP,920521,80503
HALLWOOD GROUP INC,355766,54084
ENCORE MEDICAL CORP,944763,84639
PROGENICS PHARMACEUTICALS INC,835887,85571
IKON OFFICE SOLUTIONS INC,3370,48514
EDEN BIOSCIENCE CORP,930095,88627
PERFECTDATA CORP,719662,62200
SPARTON CORP,92679,17523
ABOUT COM INC,1075314,86795
FAUQUIER BANKSHARES INC,1083643,87488
AMERICA ONLINE LATIN AMERICA INC,1100395,88500
FIRST COMMONWEALTH FINANCIAL COR,712537,77643
GRIFFON CORP,50725,46463
TIMBERLINE SOFTWARE CORP,314436,76268
TIVO INC,1088825,87255
AEROFLEX INC,2601,62500
CITIZENS INC,24090,23799
I LINK INC,849145,78988
EMERSON RADIO CORP,32621,81124
ATLANTIC TECHNOLOGY VENTURES INC,1001316,82670
TANDY BRANDS ACCESSORIES INC,869487,76553
LIBERTY DIGITAL INC,1040449,85221
KENDLE INTERNATIONAL INC,1039151,85298
CRITICAL PATH INC,1060801,86768
MISONIX INC,880432,77282
UNITEDGLOBALCOM INC,887949,79428
NEON COMMUNICATIONS INC,1116086,86283
XEROX CORP,108772,27983
SOUTHSIDE BANCSHARES INC,705432,86091
PRICELINE COM INC,1075531,86783
GERBER CHILDRENSWEAR INC,1052274,86120
KNOT INC,1062292,87496
AIRTRAN HOLDINGS INC,948846,80670
NETSOL INTERNATIONAL INC,1039280,87508
GLOBAL INDUSTRIES LTD,895663,78889
AIRSPAN NETWORKS INC,1105542,88419
DREW INDUSTRIES INC,763744,87426
TECUMSEH PRODUCTS CO,96831,77722
CROWN CRAFTS INC,25895,59256
MAXTOR CORP,711039,86281
NAVISITE INC,1084750,87333
UTAH MEDICAL PRODUCTS INC,706698,79776
GREY WOLF INC,320186,63562
PREMIER COMMUNITY BANKSHARES INC,854399,84104
FINANCIAL FEDERAL CORP,854711,77628
FIRST CHARTER CORP,717306,11389
SPSS INC,869570,79528
LONE STAR TECHNOLOGIES INC,791348,89675
PRICESMART INC,1041803,85394
LENDINGTREE INC,1096479,87636
ORYX TECHNOLOGY CORP,915355,80465
NATIONAL MERCANTILE BANCORP,714801,11625
1 800 CONTACTS INC,1050122,85814
MERCANTILE BANK CORP,1042729,87114
UNITIL CORP,755001,67360
MORGANS FOODS INC,68145,64442
CRYO CELL INTERNATIONAL INC,862692,84411
SPECTRASITE HOLDINGS INC,1072048,87252
WALLACE COMPUTER SERVICES INC,104348,51932
REVLON INC,887921,82859
PARLEX CORP,724988,61322
IMCLONE SYSTEMS INC,765258,77103
EQUITABLE RESOURCES INC,33213,24328
MERIDIAN RESOURCE CORP,869369,68742
LEGG MASON INC,704051,65330
KIRLIN HOLDING CORP,930797,81214
DATA RACE INC,890924,77979
WINFIELD CAPITAL CORP,936404,82537
TUCKER ANTHONY SUTRO,1029267,85944
PARKER DRILLING CO,76321,58675
MASSEY ENERGY CO,37748,26382
SCHULMAN A INC,87565,69199
GAMETECH INTERNATIONAL INC,1045014,85550
BALDOR ELECTRIC CO,9342,58755
MICREL INC,932111,81162
CARA THERAPEUTICS INC,1346830,14422
