Company,cik,permno
JACOBS ENGINEERING GROUP INC,52988,52329
INPUT OUTPUT INC,866609,76613
AGENCY COM LTD,1086403,87473
AXCESS INC,710597,78468
RAYTEL MEDICAL CORP,1002017,82740
BEYOND COM CORP,1060531,86193
MYRIAD GENETICS INC,899923,82508
PRECISION OPTICS CORP INC,867840,77263
FLAGSTAR BANCORP INC,1033012,84734
CYBEX INTERNATIONAL INC,60876,62906
WELLSFORD REAL PROPERTIES INC,1038222,85079
AMERICAN STATES WATER CO,1056903,71475
FIRST FEDERAL CAPITAL CORP,851207,75851
HARVEY ELECTRONICS INC,46043,85987
SOTHEBYS HOLDINGS INC,823094,75316
ART TECHNOLOGY GROUP INC,1086195,87099
TEKINSIGHT COM INC,879465,78214
DELTA & PINE LAND CO,1183401,79255
VIRAGE INC,1101147,88385
NEW HOME CO INC,1574596,14400
ZOLL MEDICAL CORP,887568,77787
SEMOTUS SOLUTIONS INC,832370,87462
WESTELL TECHNOLOGIES INC,1002135,82762
CANNON EXPRESS INC,801558,11139
DSET CORP,1052196,85867
CASEYS GENERAL STORES INC,726958,21742
NACCO INDUSTRIES INC,789933,28118
NUVEEN JOHN CO,885708,77608
PFSWEB INC,1095315,87510
ZEVEX INTERNATIONAL INC,827056,85520
COMMONWEALTH BANKSHARES INC,835012,88797
I FLOW CORP,857728,76371
LONE STAR STEAKHOUSE & SALOON IN,883670,77405
CHARTER COMMUNICATIONS INC,1091667,87378
FIRST MARINER BANCORP,946090,84309
VINTAGE PETROLEUM INC,809428,76272
DIGIMARC CORP,1089443,87482
STOCKERYALE INC,94538,82846
SHILOH INDUSTRIES INC,904979,79307
ACTIONPOINT INC,909276,79577
ALTERRA HEALTHCARE CORP,1013218,83816
WASHINGTON FEDERAL INC,936528,81577
KESTREL ENERGY INC,312842,74393
VION PHARMACEUTICALS INC,944522,82201
FRESH AMERICA CORP,921614,80527
GENTNER COMMUNICATIONS CORP,840715,75714
ROADHOUSE GRILL INC,1019376,84216
RAILAMERICA INC,887637,78065
PEREGRINE PHARMACEUTICALS INC,704562,12266
TRINITY MERGER CORP,1731536,17824
ASSISTED LIVING CONCEPTS INC,929994,81051
SMITHWAY MOTOR XPRESS CORP,941914,83694
HIBBETT SPORTING GOODS INC,1017480,84084
GENE LOGIC INC,1043914,85549
FIRST WEST VIRGINIA BANCORP INC,37049,81298
HEALTHSTREAM INC,1095565,88167
ENZO BIOCHEM INC,316253,33209
INFORMIX CORP,799089,10691
GEORESOURCES INC,41023,38755
ELITE PHARMACEUTICALS INC,1053369,87580
INSITUFORM TECHNOLOGIES INC,353020,44274
BRAUN CONSULTING INC,1086757,87158
LAUREL CAPITAL GROUP INC,892158,11705
MAXCO INC,78966,51933
TECH DATA CORP,790703,10182
GUILFORD MILLS INC,44471,54770
HOT TOPIC INC,1017712,83939
CLAIMSNET COM INC,1046057,86522
EBT INTERNATIONAL INC,917471,80334
NOVADIGM INC,888358,81886
CD WAREHOUSE INC,1025822,84412
LAWSON PRODUCTS INC,703604,48961
MIDDLESEX WATER CO,66004,53859
DATAKEY INC,704914,28725
CHOICE ONE COMMUNICATIONS INC,1091953,87596
K FED BANCORP,1270985,90085
COMPETITIVE TECHNOLOGIES INC,102198,66368
SCHEIN HENRY INC,1000228,82581
BARPOINT COM INC,1013690,88326
SHAKE SHACK INC,1620533,15167
KENNEDY WILSON INC,885720,77838
PANAVISION INC,1022911,84174
CASH AMERICA INTERNATIONAL INC,807884,75215
I MANY INC,1104017,88448
REGENT COMMUNICATIONS INC,913015,87564
GRIC COMMUNICATIONS INC,1059155,87523
TOREADOR RESOURCES CORP,98720,76532
NAVISTAR INTERNATIONAL CORP,808450,12503
WIRE ONE TECHNOLOGIES INC,746210,81761
PHARMACYCLICS INC,949699,82513
GASTON FEDERAL BANCORP INC,1051871,85980
AUSPEX SYSTEMS INC,860749,79152
AG SERVICES OF AMERICA INC,875354,76774
HEALTHGATE DATA CORP,1081630,87561
UNITED SECURITY BANCSHARES INC,717806,88384
ENTROPIN INC,837600,87767
INFODATA SYSTEMS INC,50420,44090
CENTURY BUSINESS SERVICES INC,944148,81584
X RITE INC,790818,10163
WEST CORP,1024657,84283
IONICS INC,52466,57066
CORTECH INC,728478,78846
WHITEHALL JEWELLERS INC,868984,83526
RAINING DATA CORP,820738,11781
GTECH HOLDINGS CORP,857323,77803
WHITNEY HOLDING CORP,106926,77053
HASTINGS MANUFACTURING CO,46109,32619
METRO ONE TELECOMMUNICATIONS INC,920990,83884
BROOKLINE BANCORP INC,1049782,85860
POWELL INDUSTRIES INC,80420,63715
ACTIVEWORLDS COM INC,1089531,88244
TIPPERARY CORP,98410,76340
HECLA MINING CO,719413,32651
APTIMUS INC,1087277,87230
OPNET TECHNOLOGIES INC,1108924,88550
HEALTH MANAGEMENT ASSOCIATES INC,792985,76565
GRAPHON CORP,1021435,87163
IBIS TECHNOLOGY CORP,855182,80537
CRITICARE SYSTEMS INC,812121,75545
APPLIED MOLECULAR EVOLUTION INC,1111312,88420
ATALANTA SOSNOFF CAPITAL CORP,792449,69219
AMERICAN PHYSICIANS CAPITAL INC,1118148,88828
ABLE ENERGY INC,1065728,86952
SYSTEMS & COMPUTER TECHNOLOGY,707606,74086
FOCUS ENHANCEMENTS INC,884719,79164
CIPHERGEN BIOSYSTEMS INC,926617,88620
DATA BROADCASTING CORP,888165,34981
QUALITY SYSTEMS INC,708818,64961
CONEXANT SYSTEMS INC,1069353,86496
LANTE CORP,1100370,87616
POWERWAVE TECHNOLOGIES INC,1023362,84330
GENVEC INC,934473,88836
FLEETWOOD ENTERPRISES INC,314132,46295
SAKS INC,812900,11382
SWIFT TRANSPORTATION CO INC,863557,76214
AMERICAN VANGUARD CORP,5981,11144
MATRIX SERVICE CO,866273,76279
MULTI LINK TELECOMMUNICATIONS IN,1072313,86901
NOVAMED EYECARE INC,1086939,87178
INTERMUNE PHARMACEUTICALS,1087432,87785
MCLEODUSA INC,919943,83674
LIBERTE INVESTORS INC,1017907,54578
PINNACLE GLOBAL GROUP INC,1071341,86583
HENLEY HEALTHCARE INC,890284,85186
PENNFED FINANCIAL SERVICES INC,920945,80762
AVAYA INC,1116521,88587
PLAYTEX PRODUCTS INC,842699,80186
SERVICE CORP INTERNATIONAL,89089,51625
CASELLA WASTE SYSTEMS INC,911177,85464
PAUL SON GAMING CORP,918580,80357
VERTEX PHARMACEUTICALS INC,875320,76744
TRAVELBYUS INC,355906,85274
BOMBAY COMPANY INC,96287,58800
MITCHAM INDUSTRIES INC,926423,81165
AFTERMARKET TECHNOLOGY CORP,933405,84291
NEW FORTRESS ENERGY LLC,1749723,18368
MUELLER INDUSTRIES INC,89439,76573
GOUVERNEUR BANCORP INC,1063942,86751
IRWIN FINANCIAL CORP,52617,89237
AMERIANA BANCORP,855574,11131
BUCA INC,1046501,86858
3DSHOPPING COM,1081920,87048
IMPAC MORTGAGE HOLDINGS INC,1000298,82639
PATHFINDER BANCORP INC,1046188,84825
REEDS JEWELERS INC,805900,10972
PHOENIX TECHNOLOGIES LTD,832767,11917
INTELLI CHECK INC,1040896,87439
GUILFORD PHARMACEUTICALS INC,918066,80629
RESTORATION HARDWARE INC,863821,86187
CROSSROADS SYSTEMS INC,1093207,87310
COLUMBIA SPORTSWEAR CO,1050797,85863
EQUIDYNE CORP,352281,88851
CUTTER & BUCK INC,948069,82160
COMPLETE BUSINESS SOLUTIONS INC,1028461,84599
MESABA HOLDINGS INC,835768,53082
TRIMBLE NAVIGATION LTD,864749,76230
REHABCARE GROUP INC,812191,76714
SPARTAN STORES INC,877422,88568
CANADA SOUTHERN PETROLEUM LTD,16804,30197
CIPRICO INC,720145,23537
KUSHNER LOCKE CO,842009,12202
GUARANTY FEDERAL BANCSHARES INC,1046203,81560
NASHUA CORP,69680,45487
SEACOAST FINANCIAL SERVICES CORP,1061692,86433
AXONYX INC,1070698,88148
SALISBURY BANCORP INC,1060219,86312
SCIQUEST COM INC,1082526,87420
BENTON OIL & GAS CO,845289,75734
DATALINK CORP,1056923,87160
NETGEAR INC,1122904,89800
TURBOCHEF TECHNOLOGIES INC,916545,80482
THOMAS INDUSTRIES INC,97886,45129
NSTOR TECHNOLOGIES INC,75448,84666
TOLL BROTHERS INC,794170,70228
HAUPPAUGE DIGITAL INC,930803,81562
SCHNITZER STEEL INDUSTRIES INC,912603,79866
CARDINAL FINANCIAL CORP,1060523,86250
NORTH CENTRAL BANCSHARES INC,1005188,80816
BOCA RESORTS INC,1020905,84250
TWIN DISC INC,100378,59600
FIRST SECURITYFED FINANCIAL INC,1042534,85468
NETRATINGS INC,1095480,87507
ACLARA BIOSCIENCES INC,1067588,87748
STONERIDGE INC,1043337,85440
PHARMOS CORP,713275,62552
E STAMP CORP,1092917,87319
CONVERA CORP,1125536,33690
HEMLOCK FEDERAL FINANCIAL CORP,1029654,84740
QUALYS INC,1107843,13600
UNIVERSAL CORP,102037,16555
WEST MARINE INC,912833,79884
KNIGHT TRANSPORTATION INC,929452,80987
MINUTEMAN INTERNATIONAL INC,810876,11194
FINET COM INC,852450,85547
KRUG INTERNATIONAL CORP,96793,74908
PEOPLES HOLDING CO,715072,77526
WOLVERINE TUBE INC,821407,79634
AMBAC FINANCIAL GROUP INC,874501,76757
MAZEL STORES INC,1022536,84230
WESTPOINT STEVENS INC,852952,79532
DATA SYSTEMS & SOFTWARE INC,880984,77327
MULTIMEDIA GAMES INC,896400,83529
FASTNET CORP,1092536,87830
ANSWERTHINK INC,1057379,86048
ARK RESTAURANTS CORP,779544,85586
MOLDFLOW CORP,1103234,87791
MATTSON TECHNOLOGY INC,928421,80943
HMG WORLDWIDE CORP,756680,89077
MARINUS PHARMACEUTICALS INC,1267813,14815
DAISYTEK INTERNATIONAL CORP,887403,81202
IMMUNOGEN INC,855654,75860
NATURAL MICROSYSTEMS CORP,915866,80257
LUMINEX CORP,1033905,87789
NIKU CORP,1076641,87621
HEMAGEN DIAGNOSTICS INC,892822,78891
VIZACOM INC,926331,82669
ARQULE INC,1019695,84052
DEPOMED INC,1005201,85686
AMERICAN SKIING CO,1043432,85596
RANGE RESOURCES CORP,315852,50017
COMPUCOM SYSTEMS INC,736291,89763
COMPUTERIZED THERMAL IMAGING INC,1021853,88849
BOLT TECHNOLOGY CORP,354655,18650
SCANSOFT INC,1002517,82759
WESTERN GAS RESOURCES INC,856716,75888
INVACARE CORP,742112,45728
GREENBRIER COMPANIES INC,923120,80719
DIGENE CORP,1011582,83495
CURATIVE HEALTH SERVICES INC,874212,76720
SONIC AUTOMOTIVE INC,1043509,85627
GENESISINTERMEDIA COM,1071522,86967
TRANS INDUSTRIES INC,99102,76807
ROCHESTER MEDICAL CORP,868368,76980
NORDSTROM INC,72333,57817
PERRIGO CO,1585364,77182
COMMONWEALTH BIOTECHNOLOGIES INC,1042418,85457
SKILLSOFT CORP,1774675,87630
WORLD ACCESS INC,1071645,76977
VERSATA INC,1034397,87826
SPARTECH CORP,77597,72005
HANSEN NATURAL CORP,865752,88031
ANGELICA CORP,6571,45583
COMM BANCORP INC,730030,83631
FIRST DEFIANCE FINANCIAL CORP,946647,79382
ELOYALTY CORP,1094348,87602
HANCOCK HOLDING CO,750577,76684
HOLLIS EDEN PHARMACEUTICALS INC,899394,85376
SILICON IMAGE INC,1003214,87345
CATALYTICA ENERGY SYSTEMS INC,1053361,88830
FONAR CORP,355019,37154
ACRES GAMING INC,912601,79675
COASTAL BANCORP INC,919805,77435
SCIENTIFIC LEARNING CORP,1042173,87089
RETURN ASSURED INC,1020726,84218
HOWTEK INC,749660,88779
ENZON INC,727510,33137
META GROUP INC,1000015,82724
TELLABS INC,317771,75257
VERITY INC,949956,82535
I3 MOBILE INC,1045597,88169
STEWART ENTERPRISES INC,878522,77045
INTERPOOL INC,898777,79209
STONEPATH GROUP INC,1093546,88602
CENTRA SOFTWARE INC,1096658,87595
WARNACO GROUP INC,801351,77080
ALLOS THERAPEUTICS,1097264,87750
MCDATA CORP,731502,88543
DEB SHOPS INC,715779,29111
GLOBAL TECHNOVATIONS INC,800055,75675
SIMPSON MANUFACTURING CO INC,920371,80575
PHOTON DYNAMICS INC,1002663,82605
CASCADE BANCORP,865911,80112
ONYX SOFTWARE CORP,1014383,86729
OIL DRI CORP OF AMERICA,74046,59185
WORLD HEART CORP,1024520,84352
VERTICALNET INC,1043946,86738
ENDOCARDIAL SOLUTIONS INC,940659,84605
LYNCH INTERACTIVE CORP,1088771,87211
OGLEBAY NORTON CO,1082816,59110
NANOGEN INC,1030339,85995
WACKENHUT CORP,104030,78850
SMITHFIELD FOODS INC,91388,70923
GRANITE CONSTRUCTION INC,861459,76135
FIRST TENNESSEE NATIONAL CORP,36966,36397
OREGON TRAIL FINANCIAL CORP,1041122,85491
DISCOVERY LABORATORIES INC,946486,82156
WEBCO INDUSTRIES INC,916314,80290
VARIAN INC,1079028,86789
RIVIERA HOLDINGS CORP,899647,83458
PRIMA ENERGY CORP,318107,64152
BOWATER INC,743368,66130
PRODIGY COMMUNICATIONS CORP,824740,86733
DOWNEY FINANCIAL CORP,935063,54279
PROVENA FOODS INC,814139,11622
SENSYTECH INC,26537,86786
EXPEDIA INC,1095357,87388
FIRST OAK BROOK BANCSHARES INC,717837,88015
CALIFORNIA INDEPENDENT BANCORP,948976,83741
CARDIOTECH INTERNATIONAL INC,1011060,83592
INTERPLAY ENTERTAINMENT CORP,1057232,86174
STRATEGIC DISTRIBUTION INC,73822,80378
FREEMARKETS INC,949968,87489
FIRST MIDWEST BANCORP INC,702325,35917
TRANSKARYOTIC THERAPIES INC,885259,84136
HOME CITY FINANCIAL CORP,1022103,84313
LANCASTER COLONY CORP,57515,48523
HEALTHEXTRAS INC,1090403,87492
BAKER MICHAEL CORP,9263,52484
EXAR CORP,753568,87696
PACIFICNET COM INC,815017,88459
BOSTON LIFE SCIENCES INC,94784,40062
TRIPATH TECHNOLOGY INC,1045739,88573
SOUTHWEST BANCORP OF TEXAS INC,1027258,84439
SECURE COMPUTING CORP,1001916,82613
IMRGLOBAL CORP,1021772,84222
VTEL CORP,884144,77505
GOLF TRUST OF AMERICA INC,1024126,84581
SABA SOFTWARE INC,1070380,88193
ACCREDO HEALTH INC,1068887,86813
AMPLIDYNE INC,1016151,84405
LIFETIME HOAN CORP,874396,76686
NATIONAL WIRELESS HOLDINGS INC,915016,80348
COGNEX CORP,851205,75654
LOWRANCE ELECTRONICS INC,804073,10984
IMMUNOMEDICS INC,722830,43757
CURTISS WRIGHT CORP,26324,18091
SUNRISE TELECOM INC,907152,88469
DIGITAL WORLD ACQUISITION CORP,1849635,21927
HUBBELL INC,48898,32934
KOSS CORP,56701,48072
FIRST ESSEX BANCORP INC,808246,11574
GRANITE BROADCASTING CORP,839621,77261
PHARMANETICS INC,1072546,82688
PRINTRONIX INC,311505,64195
ISLE OF CAPRI CASINOS INC,863015,77897
STIFEL FINANCIAL CORP,720672,72996
CARDIAC SCIENCE INC,876188,88625
JUNIPER GROUP INC,864921,76938
INTEGRAL VISION INC,719152,52282
GREAT LAKES AVIATION LTD,914397,80126
T NETIX INC,929757,81113
ALLIED HEALTHCARE PRODUCTS INC,874710,77259
LIGHTPATH TECHNOLOGIES INC,889971,83149
GRAND CENTRAL FINANCIAL CORP,1070680,86526
PRIME HOSPITALITY CORP,80293,77880
HYDRIL CO,1116030,88634
COLE KENNETH PRODUCTIONS INC,921691,80679
AMERICAN MEDICAL ALERT CORP,700721,13470
MANITOWOC CO INC,61986,51263
CAGLES INC,16104,56602
ODETICS INC,350868,67029
QUIGLEY CORP,868278,85205
LOCAL FINANCIAL CORP,1047125,85948
WESTCOAST HOSPITALITY CORP,1052595,85939
RICA FOODS INC,789881,76314
GENTIVA HEALTH SERVICES INC,1096142,87771
MILLER HERMAN INC,66382,54114
NEORX CORP,755806,12063
FIRSTFED BANCORP INC,876947,84733
APERIAN INC,68619,88241
MIDWEST EXPRESS HOLDINGS INC,948845,82235
BELLWETHER EXPLORATION CO,319459,17559
CHARLOTTE RUSSE HOLDING INC,1092006,87306
INTRENET INC,778161,86642
FIRST NILES FINANCIAL INC,1065823,86397
POSSIS MEDICAL INC,79677,63686
GENUS INC,837913,12174
TRIANGLE PHARMACEUTICALS INC,1022622,84279
NETSMART TECHNOLOGIES INC,1011028,83889
METRETEK TECHNOLOGIES INC,882154,77340
LINCARE HOLDINGS INC,882235,77421
QUAKER CITY BANCORP INC,912465,80025
COMPUTRAC INC,720507,69307
DREXLER TECHNOLOGY CORP,30140,30761
TRAVELOCITY COM INC,1104172,87822
VIISAGE TECHNOLOGY INC,1018332,84280
STEEL DYNAMICS INC,1022671,84262
CARECENTRIC INC,896157,85207
KENTUCKY ELECTRIC STEEL INC,910394,79601
ALLCITY INSURANCE CO,3642,84276
INTRABIOTICS PHARMACEUTICALS INC,1103390,87777
IRVINE SENSORS CORP,357108,45955
CIRCOR INTERNATIONAL INC,1091883,87268
THREE FIVE SYSTEMS INC,32272,76448
ENTERCOM COMMUNICATIONS CORP,1067837,86560
BIO AQUA SYSTEMS INC,1089590,87833
COLONIAL BANKSHARES INC,1317019,90722
CAPITOL FEDERAL FINANCIAL,1490906,86820
GREY GLOBAL GROUP INC,43952,40097
PREMIER FINANCIAL BANCORP INC,887919,83547
LAKELAND INDUSTRIES INC,798081,10645
NSD BANCORP INC,898624,79512
COMPUWARE CORP,859014,78139
DYCOM INDUSTRIES INC,67215,12008
GYMBOREE CORP,786110,78972
EASTMAN KODAK CO,31235,11754
CONSOLIDATED STORES CORP,768835,67467
HI TECH PHARMACAL CO INC,887497,77830
WIDEPOINT CORP,1034760,86098
BIOSOURCE INTERNATIONAL INC,860451,74580
PARK OHIO HOLDINGS CORP,76282,61269
AVENUE ENTERTAINMENT GROUP INC,1023298,85233
CHORDIANT SOFTWARE INC,1042134,87649
SWITCHBOARD INC,1085223,87817
NORTH PITTSBURGH SYSTEMS INC,764765,84402
QUALSTAR CORP,758938,88370
FIRST INDIANA CORP,789670,35829
ETHAN ALLEN INTERIORS INC,896156,79037
UNION FINANCIAL BANCSHARES INC,926164,86300
ABATIX CORP,845779,75721
MACROVISION CORP,1027443,84624
TAG IT PACIFIC INC,1047881,85776
FIBERMARK INC,887591,79010
GOOD TIMES RESTAURANTS INC,825324,76360
CHICAGO PIZZA & BREWERY INC,1013488,84062
GALLERY OF HISTORY INC,763730,85404
VECTOR GROUP LTD,59440,75233
ENNIS BUSINESS FORMS INC,33002,47511
MIDSOUTH BANCORP INC,745981,79131
OMNOVA SOLUTIONS INC,1090061,87214
NEWELL RUBBERMAID INC,814453,60986
HEARX LTD,821536,12188
INTEST CORP,1036262,85013
SUN BANCORP INC,1017793,79113
SEACHANGE INTERNATIONAL INC,1019671,84255
ALLIED DEVICES CORP,869495,81072
EXELIXIS INC,939767,88159
CERNER CORP,804753,10909
NETWORK EQUIPMENT TECHNOLOGIES,752431,11038
MARKETING SERVICES GROUP INC,14280,86079
WESBANCO INC,203596,11293
AVANEX CORP,1056794,87588
MERCURY AIR GROUP INC,52532,64004
NX NETWORKS INC,889237,77919
LEGGETT & PLATT INC,58492,60943
NORTEK INC,72423,49752
ON POINT TECHNOLOGY SYSTEMS INC,896195,79283
POLYPHASE CORP,748212,68996
POORE BROTHERS INC,944508,84325
NORDSON CORP,72331,57809
ONEIDA LTD,74585,45313
PALATIN TECHNOLOGIES INC,911216,79702
EXULT INC,1108341,88342
XPEDIOR INC,1096287,87517
POINTE FINANCIAL CORP,917331,86215
NAVIGATORS GROUP INC,793547,10395
PALIGENT INC,885475,80265
COORSTEK INC,1095603,87520
PEOPLES BANCTRUST CO INC,762128,80656
HAMPSHIRE GROUP LTD,887150,77685
CHICOS FAS INC,897429,78963
SYKES ENTERPRISES INC,1010612,83422
VALENTIS INC,932352,85382
NEENAH PAPER INC,1296435,90440
RAMBUS INC,917273,84827
INFONET SERVICES CORP,1096512,87465
BANC STOCK GROUP INC,909108,86818
DIGITAL IMPACT INC,1095105,87385
INNOVATIVE MEDICAL SERVICES,1006028,83896
ENVIRONMENTAL SAFEGUARDS INC,1017616,85787
SYNQUEST INC,1082397,88571
MOLEX INC,67472,76234
SYMS CORP,724742,65429
BUCKLE INC,885245,77584
SPEEDUS COM INC,1002520,83127
TELEMATE NET SOFTWARE INC,1088214,87256
GUITAR CENTER INC,1021113,84616
VIDEO NETWORK COMMUNICATIONS INC,944310,84752
NETGURU INC,1015920,83790
MOORE HANDLEY INC,788951,10080
VALENCE TECHNOLOGY INC,885551,77582
PEMSTAR INC,924829,88556
SPECTRUM CONTROL INC,92769,72128
ASHWORTH INC,820774,76322
NUCENTRIX BROADBAND NETWORKS INC,917707,87177
TEAMSTAFF INC,785557,10257
SPAN AMERICA MEDICAL SYSTEMS INC,718924,71942
DELTA FINANCIAL CORP,1021848,84164
ARTESIAN RESOURCES CORP,863110,83469
VANS INC,877273,76797
EPLUS INC,1022408,84234
ELECTRONIC TELE COMMUNICATIONS,773547,87549
MERGE TECHNOLOGIES INC,944765,85739
UNIVIEW TECHNOLOGIES CORP,755229,79820
ALTEON INC,878903,77086
BISYS GROUP INC,883587,77426
SWISS ARMY BRANDS INC,731947,37277
PEMCO AVIATION GROUP INC,771729,11306
CYPRESS SEMICONDUCTOR CORP,791915,10302
COMPUTER TASK GROUP INC,1042368,26084
CALGON CARBON CORP,812701,11378
BROOKS AUTOMATION INC,933974,81241
KENNAMETAL INC,55242,44134
SCHLOTZSKYS INC,1002178,82675
TUFCO TECHNOLOGIES INC,895329,80159
MERRIMAC INDUSTRIES INC,706864,53015
CAMBRIDGE HEART INC,913443,83849
AMERICAN RETIREMENT CORP,787784,84768
ALLIANCE GAMING CORP,2491,38149
HERITAGE COMMERCE CORP,1053352,86302
VITAMINSHOPPE COM INC,1090156,87355
TELENETICS CORP,810018,88473
AMERICAN HEALTHWAYS INC,704415,76788
BIOTIME INC,876343,77393
BIGSTAR ENTERTAINMENT INC,1058430,87157
COHESANT TECHNOLOGIES INC,928420,81078
ZOOM TELEPHONICS INC,822708,77011
RICHARDSON ELECTRONICS LTD,355948,66852
MCSI INC,1023519,84231
CATAPULT COMMUNICATIONS CORP,1063085,86713
SKYWEST INC,793733,10421
DREYERS GRAND ICE CREAM INC,352305,30780
KEYNOTE SYSTEMS INC,1032761,87242
TRACK DATA CORP,922811,80820
CORRECTIONAL SERVICES CORP,914670,80242
KENSEY NASH CORP,1002811,82717
HARVEY ENTERTAINMENT CO,904350,79271
IMPCO TECHNOLOGIES INC,790708,10667
BRIGHAM EXPLORATION CO,1034755,84792
WAUSAU MOSINEE PAPER CORP,105076,81702
TRANSPRO INC,948844,82242
RAINBOW RENTALS INC,1058441,86185
WIRELESS TELECOM GROUP INC,878828,77235
BANDAG INC,9534,77881
DIRECT INSITE CORP,879703,77915
MULTIPLE ZONES,1013786,83677
NETSCOUT SYSTEMS INC,1078075,87179
V ONE CORP,1008946,84144
HOMESERVICES COM INC,1090445,87323
UNIT CORP,798949,63781
WATERS INSTRUMENTS INC,104987,81700
PHARSIGHT CORP,1040853,88553
WORLDGATE COMMUNICATIONS INC,1030058,86850
SCIENTIFIC TECHNOLOGIES INC,708250,11183
NATIONAL HEALTHCARE CORP,1047335,72338
ANSOFT CORP,849433,83351
TRIPOS INC,920691,80579
SAPIENT CORP,1008817,83413
NEOPHARM INC,942788,82831
BIO VASCULAR INC,780127,11132
RADIAN GROUP INC,890926,78038
INDUSTRIAL RUBBER PRODUCTS,1056093,85989
ASTRONICS CORP,8063,15457
PROCOM TECHNOLOGY INC,1025711,84327
DRYCLEAN USA INC,65312,87437
FLIR SYSTEMS INC,354908,79265
EPIMMUNE INC,822206,77097
OPINION RESEARCH CORP,911673,79725
CARRIAGE SERVICES INC,1016281,83856
TOYMAX INTERNATIONAL INC,1044010,85509
KAISER ALUMINUM CORP,811596,76758
SUPERVALU INC,95521,44951
ALDILA INC,902272,79247
KLAMATH FIRST BANCORP INC,946924,82503
WINMILL & CO INC,52234,19722
CLOSURE MEDICAL CORP,1016006,83967
COMMUNITY WEST BANCSHARES,1051343,84215
BRAINSTORM CELL THERAPEUTICS INC,1137883,14925
CERBCO INC,826821,22382
DURECT CORP,1082038,88626
EUNIVERSE INC,1088244,88158
RESOURCE BANKSHARES CORP,1065002,83408
KELLY SERVICES INC,55135,47387
HAWK CORP,849240,86017
SCHAWK INC,719164,34818
POMEROY COMPUTER RESOURCES INC,883979,77502
ADVANCED MAGNETICS INC,792977,10363
MONRO MUFFLER BRAKE INC,876427,76750
VENTURE CATALYST INC,318291,82181
RESPIRONICS INC,780434,11927
VASOMEDICAL INC,839087,12171
SILVERLEAF RESORTS INC,1033032,85075
METROCORP BANCSHARES INC,1068300,86531
INTEGRAMED AMERICA INC,885988,77982
SOFTWARE SPECTRUM INC,875173,76734
JAKKS PACIFIC INC,1009829,83520
NEW JERSEY RES,356309,64450
TELIK INC,1109196,88572
ODYSSEY HEALTHCARE INC,1129623,89174
RITE AID CORP,84129,46922
AMERICAN SOFTWARE INC,713425,13777
POLYMER GROUP INC,927417,83457
CREATIVE HOST SERVICES INC,933098,85170
LOUISIANA PACIFIC CORP,60519,56223
FIRST HEALTH GROUP CORP,812910,11371
INFOGRAMES INC,1002607,82704
HARBOR FLORIDA BANCSHARES INC,1029407,80130
VOLT INFORMATION SCIENCES INC,103872,81190
GLENAYRE TECHNOLOGIES INC,808918,11908
WD 40 CO,105132,81294
AMTECH SYSTEMS INC,720500,65008
E CRUITER COM INC,1095266,87484
MET PRO CORP,65201,60548
TECHSYS INC,922488,80738
POWER INTEGRATIONS INC,833640,85710
FULLER H B CO,39368,37875
MERISTAR HOTELS & RESORTS INC,1059341,86226
STILWELL FINANCIAL INC,1065865,88313
BITWISE DESIGNS INC,885074,77599
SOUTHWEST GEORGIA FINANCIAL CORP,315849,83831
CADMUS COMMUNICATIONS CORP,745274,20571
BLUEPRINT MEDICINES CORP,1597264,15284
INNOTRAC CORP,1051114,86073
AMERICAN BILTRITE INC,4611,39482
HARRIS INTERACTIVE INC,1094238,87494
NUMERICAL TECHNOLOGIES INC,1091226,88178
ERESOURCE CAPITAL GROUP INC,722839,83726
CALYPTE BIOMEDICAL CORP,899426,83736
RUSS BERRIE & CO,739878,66050
ADVEST GROUP INC,319489,64514
FALCON PRODUCTS INC,34339,34121
BARNESANDNOBLE COM INC,1069665,86930
HARLEYSVILLE GROUP INC,792013,10290
FIREPOND INC,1098574,87605
CITADEL SECURITY SOFTWARE INC,1164552,90124
MIKOHN GAMING CORP,912241,79850
WEBLINK WIRELESS INC,947268,83681
LASERSCOPE,851737,75866
SUPER VISION INTERNATIONAL INC,917523,80368
EARTHSHELL CORP,911801,85868
EQUITY OIL CO,33325,33420
RIGEL PHARMACEUTICALS INC,1034842,88810
WACKENHUT CORRECTIONS CORP,923796,80774
POGO PRODUCING CO,230463,60695
ARCH CHEMICALS INC,1072343,86548
TRAFFIX INC,1000297,82738
AT ROAD INC,1109537,88617
EYEGATE PHARMACEUTICALS INC,1372514,15510
CEPHEID,1037760,88331
SYNAPTIC PHARMACEUTICAL CORP,884939,82746
DAVE & BUSTERS INC,943823,81695
CONCEPTUS INC,896778,83123
RELIANCE STEEL & ALUMINUM CO,861884,80864
MYERS INDUSTRIES INC,69488,65365
OMNIVISION TECHNOLOGIES INC,1106851,88458
LEARN2 COM INC,920038,81008
PACKAGED ICE INC,917731,86577
PIONEER COMPANIES INC,830141,81638
ACE CASH EXPRESS INC,849116,78112
LEAPNET INC,1015665,83945
MADDEN STEVEN LTD,913241,80034
SYNOVUS FINANCIAL CORP,18349,20053
SAUCONY INC,49401,79204
PEERLESS SYSTEMS CORP,897893,83956
TELETECH HOLDINGS INC,1013880,83916
SUPERGEN INC,919722,83317
SONICBLUE INC,850519,79009
